"Video Explanation","FFF-Video","Exercise Name","Exercise Description","Repetitions","Sets","Load","Recovery Time","Type","Muscle Group","ID","Created Date","Updated Date","Owner"
,,"Smith Machine Push Press","Set the bar on a Smith machine at upper chest height and grip slightly wider than shoulder-width. Stand with feet shoulder-width apart. Dip slightly by bending the knees, then explode upward, using the legs to drive the bar overhead. Extend fully at the elbows at the top. Lower the bar under control to the shoulders and repeat, maintaining vertical posture and tight core engagement throughout.","5","3","60–70% 1RM","75s",,,"77d4e0b4-abe2-49ed-9761-5f87c9a477fb",2025-04-20T21:15:04Z,2025-04-20T21:15:26Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Single Leg Pogos","Stand on one leg, bouncing lightly and rapidly, maintaining minimal ground contact time. Keep quick, controlled movements and focus on reactive strength. Switch legs after completing reps.","20 (10 each side)","3","Bodyweight","45s","[""Max Velocity""]","[""Calves"",""Hip Flexors""]","782b2f9f-6467-4de2-bc3f-cb14547eaf35",2025-02-05T11:38:14Z,2025-02-19T00:48:43Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Pallof Trunk Rotations","From the same start position, rotate your upper body away from the machine so that the cable extends across you. Maintain the same outstretched arms throughout the movement and do not
shift your lower body.","5","5","6kg",,"[""Stability"",""Prehab""]","[""Core"",""Obliques"",""Shoulders""]","78515325-a62d-42f7-b673-6c2fd4d4915e",2025-02-05T09:14:26Z,2025-02-05T10:59:17Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Eccentric Calf Raises","Stand on a step with your heels hanging off. Push up with both feet, then slowly lower your right heel below the step. Use your left leg to assist back up. Repeat on the opposite side.","20 (10 each side)","2","'-","45s","[""Prehab"",""Pre-Training""]","[""Calves""]","78e430d0-1158-4444-92ee-d9b502ad6f59",2025-01-29T07:36:12Z,2025-02-05T05:35:50Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Sprint + Deceleration to
Turn","Sprint forward for 20m at maximum speed. As you approach the deceleration point, lower your centre of gravity by bending your knees and hips, while hinging forwards at the hips. Pivot 180 degrees with some speed, then push off explosively through the first few steps.","1 (20m-5m)","4 (2 each side)","'-","Full","[""Deceleration"",""Change Of Direction""]","[""Glutes"",""Quadriceps"",""Hamstrings"",""Core"",""Calves""]","7906d565-950f-4644-bfc5-d633a14dbe4d",2025-01-16T10:26:42Z,2025-04-04T22:36:23Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Lying Shoulder Rotations","Lay down flat on the floor. Hold a light dumbbell in one arm straight in the air above you. The movement is to rotate the dumbbell via your wrist so that it faces to the inside. Rotate back so that if faces forwards again. Continue with these rotations at increasing speeds if no pain is felt.","30s","3","4kg",,"[""Pre-Training"",""Mobility""]","[""Rotator Cuff"",""Hip Stabilisers"",""Shoulders""]","79504833-47cb-4cb6-985d-cac376c5ab13",2025-02-05T09:00:14Z,2025-02-05T11:24:10Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Pelvic Tilts: Anterior-Posterior","Lie on your back with your knees bent and feet flat on the floor. Place your hands on your hips to feel the movement. Tilt your pelvis forward, creating a small arch in your lower back (anterior tilt), then reverse the motion, flattening your lower back into the ground (posterior tilt). Focus on controlled movement and engaging the deep core muscles.",,,"'-","45s","[""Mobility""]","[""Lower Back"",""Core"",""Hip Flexors""]","7a6e5b36-472a-4d30-8ad5-4db05cc03ed1",2025-01-23T20:56:56Z,2025-02-05T08:43:06Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"wix:video://v1/c4f4b1_920878c9075d4bcfb4b818dfef0d509c/Ankle%20Dribbles#posterUri=c4f4b1_920878c9075d4bcfb4b818dfef0d509cf000.jpg&posterWidth=480&posterHeight=848",true,"Ankle Dribbles","Stand with a slight forward lean and keep your core engaged. Perform quick, light foot taps, ensuring your toes stay just off the ground and your ankle remains stiff. The movement should be short and reactive, promoting efficient ground contact and proper sprint foot mechanics.","30","2","'-","Full","[""Acceleration""]","[""Calves"",""Tibialis Anterior""]","7b2be577-8daf-4ae1-bd02-8cb0587d7d10",2025-01-23T21:09:51Z,2025-03-21T19:43:11Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Iso Deadlift Hold","Using a squat rack or smith machine, place the barriers at knee height. Assume the starting deadlift position, hinging
from the hips with hands placed on the barbell just outside shoulder-width apart. As you pull upwards, the barrier will
prevent the bar from moving. Continue to pull with force for the desired duration, before dropping the bar and
releasing the tension.","1 (10 second hold)","4","40kg*","Full","[""Hypertrophy/Isolation""]","[""Glutes"",""Hamstrings"",""Core""]","7b6ddfc8-3f1b-40eb-b903-732072aa69dc",2025-02-05T09:22:40Z,2025-03-03T23:40:10Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Glute Bridge with Adductor Squeeze","Perform a glute bridge while squeezing a yoga block or medicine ball between your knees to engage the adductors and stabilise the pelvis. Hold the top position for 3 seconds.","10","2","'-","'-","[""Prehab""]","[""Adductors"",""Glutes""]","7bd7eddf-002f-44a4-9313-d12ebf15fdf6",2025-02-27T23:59:03Z,2025-02-27T23:59:27Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Step-Through Lunges","Step one leg forward into a deep lunge. Push off the ground and bring your rear leg forward to step into the next lunge. Alternate legs
continuously, maintaining a steady rhythm.","16 (8 each side)","1","'-","'-","[""Pre-Training""]","[""Quadriceps"",""Glutes"",""Hamstrings"",""Core""]","7c3b832f-ea0a-4714-b5a4-b3972a3bd036",2025-01-16T09:49:27Z,2025-03-06T11:11:44Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"wix:video://v1/c4f4b1_ffb6ab99bcdc4b30add3d7efc4a661ac/Reverse%20Lunge#posterUri=c4f4b1_ffb6ab99bcdc4b30add3d7efc4a661acf000.jpg&posterWidth=886&posterHeight=476",,"Reverse Lunge","Stand tall with your feet hip-width apart and your core engaged. Step backward with one leg, lowering your back knee toward the ground while keeping your front shin vertical. Maintain an upright torso and avoid leaning forward. Push through your front heel to return to the starting position under control before switching sides.","8 (4 each side)","3","'-","60s","[""Hypertrophy/Isolation""]","[""Quadriceps"",""Glutes"",""Hamstrings"",""Core""]","7d56f857-dcd3-402a-86e6-71614b5669d0",2025-01-23T15:27:19Z,2025-03-21T19:57:55Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Wall Sprint Drill with
Resistance","Stand facing a wall and place your hands shoulder-width apart. Lean slightly forward and attach a resistance band around your waist or lower back. Drive one knee forward explosively, alternating legs, while keeping tension on the band.","8 (4 each side)","1","'-","'-","[""Pre-Training""]","[""Glutes"",""Quadriceps"",""Hamstrings"",""Calves""]","7decfbe7-2ad3-44ce-aee7-000e82cd2690",2025-01-16T09:05:58Z,2025-02-05T07:14:17Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Lateral Band Walks","Place a resistance band around your thighs. Step sideways, keeping tension on the band, and avoid dragging your feet. Stay in a slight squat position.","20 (10 each side)","2","Heavy Resistance Band","60s","[""Prehab"",""Pre-Training""]","[""Glutes"",""Hip Stabilisers""]","7e2941d4-1619-4957-a7bd-f1de44b3b192",2025-01-29T07:36:17Z,2025-02-05T06:57:26Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"C.O.D.A.T.","Set up an M-shape with cones (10m vertically, 5m horizontally in total - middle of the M 2.5m in). Sprint along the M itself from point to
point and then back to the start as fast as possible.","1","3","'-","Full","[""Testing""]","[""Quadriceps"",""Glutes"",""Hamstrings"",""Calves"",""Core""]","7e318f66-8ac4-446a-bb85-01d11d2a0084",2025-01-22T13:46:51Z,2025-02-05T05:32:35Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Dynamic Hip Flexor Stretch","Start in a half-kneeling position with your front knee at a 90-degree angle and your back knee resting on the ground. Keep your torso upright and core engaged as you gently push your hips forward, feeling a stretch in the hip flexor of the back leg. Avoid arching your lower back by maintaining a neutral spine.","20 (10 each side)","1","'-","'-","[""Mobility"",""Pre-Training""]","[""Hip Flexors"",""Quadriceps""]","7e775ee9-b36a-45f9-b020-e642535931fd",2025-02-04T10:12:18Z,2025-02-05T08:20:21Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Treadmill Incline
Sprints","Set the treadmill incline to 10–12%. Begin by standing on the side rails and then step onto the moving belt at 80% of your sprinting speed. Drive your knees high, leaning slightly forward, and pump your arms aggressively. Focus on explosive, controlled strides during each sprint interval.","15s (work), 30s (rest)","6","Incline 10%","Full","[""Acceleration""]","[""Glutes"",""Quadriceps"",""Hamstrings"",""Calves""]","7f95d031-fd8a-4d5d-9048-6dd91d29056c",2025-01-16T09:28:51Z,2025-02-05T08:39:00Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Seated Hip Flexor Marches","Sit on a bench and lift one knee up toward your chest, holding for 3 seconds before lowering. Alternate sides while keeping pelvic stability.","10 (5 each side)","2","'-","'-","[""Prehab""]","[""Hip Flexors""]","7f9fa934-b0dc-457f-b124-474b6a6c1233",2025-02-27T23:31:21Z,2025-02-27T23:32:05Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Reverse Cable Flies","Stand facing a cable machine with the handles set at shoulder height. Pull the handles outward in a reverse fly motion, squeezing your shoulder blades together. Control the return and repeat.","12","3","40% 1RM","60s","[""Hypertrophy / Isolation""]","[""Rear Delts"",""Upper Back""]","7fc7569d-aff6-4a0c-90ea-c9796948342c",2025-02-05T11:35:54Z,2025-02-19T00:41:53Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Rotational Step-Through Lunge","Step forward into a lunge while simultaneously rotating your torso toward the front leg. Instead of stepping back to neutral, push through the front foot to bring the back leg forward, immediately stepping into another lunge on the opposite side. Maintain fluid motion and control throughout.","12 (6 each side)","3","'-","60s",,,"7fd2abb4-7705-4fd4-aefe-48ebcd6566ca",2025-03-07T13:07:54Z,2025-03-07T13:07:54Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Rolling DB Extensions","Lie on a bench with dumbbells in hand. Begin by rolling your shoulders back, lowering the dumbbells behind your head, then extend your arms fully back to the start position. Maintain controlled movement throughout.","12","3","50% 1RM","60s","[""Strength-Speed"",""Hypertrophy / Isolation""]","[""Triceps"",""Shoulders""]","803317a5-1572-497a-bd14-720d36949263",2025-02-05T11:39:38Z,2025-02-19T00:42:18Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Sled Pull","Stand facing the sled, gripping the handles firmly with both hands. Lean slightly backward, keeping your torso upright and core engaged. Begin sprinting backward in a continuous motion, driving through your heels with powerful, explosive steps while maintaining constant tension on the sled. Keep your arms extended but active, ensuring a smooth pull without excessive upper-body movement. Focus on fast, forceful strides, avoiding any hesitation or pausing between steps.","40m (4x10m)","3","30% 1RM","90s","[""Max Power""]","[""Glutes"",""Hamstrings"",""Quadriceps"",""Core""]","80458b63-3382-451a-a71b-1c31e4c32de2",2025-01-23T15:10:02Z,2025-02-05T07:10:02Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Single-Leg Glute
Kickbacks","Stand tall with a slight bend in your standing knee and your core engaged. Keeping your back straight, lift your opposite leg straight behind you, squeezing your glutes at the top while maintaining control. Avoid excessive arching of the lower back or swinging the leg. Lower back to the starting position under control before repeating on the same side.","10 (5 each side)","1","'-","'-","[""Pre-Training""]","[""Glutes"",""Hamstrings""]","80d673af-d0b3-4be8-8a88-8ce6841532da",2025-01-16T09:05:56Z,2025-02-05T07:09:36Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Side Plank with Reach-Under","Lie on your side with your elbow directly under your shoulder and legs stacked. Engage your core and lift your hips to form a straight line from head to feet. Reach your top arm under your torso, rotating through your thoracic spine, then return to the start position. Keep your hips stable and movement controlled throughout. ","20 (10 each side)","3","'-","90s",,,"8130f569-4690-465a-b763-da869173e047",2025-03-07T13:07:54Z,2025-03-07T13:07:54Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Reverse Lunge with Rotation","Step back into a deep lunge, lowering until your back knee nearly touches the ground. As you descend, rotate your torso towards the front leg while maintaining an upright posture. Return to the starting position by pushing through the front foot and resetting your torso to face forward before switching sides.","12 (6 each side)","3","'-","60s",,,"82e1b421-48bf-4ee8-9706-c33c20fbe7e1",2025-03-07T13:07:53Z,2025-03-07T13:07:54Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Hanging Vertical Jump","Hang from a bar above your head a couple of feet off the ground. Let go of the bar and then jump vertically immediately upon touching the ground. Spend as little time as possible on the ground. Grab the bar again to reset for the next rep. Keep your body upright with only a small bend in the knees at the point of the jump.","10","3","'-",,"[""Max Velocity""]","[""Glutes"",""Quadriceps"",""Hamstrings"",""Calves"",""Core""]","83d0e232-7560-4ad7-849c-b32e0e5f1e9a",2025-02-05T09:10:24Z,2025-02-05T10:53:50Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Barbell Overhead Good Morning","Hold a barbell overhead with a wide grip, ensuring your elbows remain locked out and core engaged. Stand with your feet hip-width apart, then hinge at the hips by pushing them back while keeping your spine neutral. Lower your torso forward until you feel a stretch in your hamstrings, then return to standing by driving your hips forward. Maintain full-body tension throughout to avoid excessive back arching.","8","2","10-20kg","60s","[""Mobility""]","[""Hamstrings"",""Glutes"",""Lower Back"",""Core""]","8428d16c-f7c6-4317-b5bc-0cdb947a04f1",2025-01-23T19:22:19Z,2025-03-21T19:42:40Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Depth Jumps with Lateral Bound","Stand on a box around knee height. Step off the box and absorb the landing by bending at the hips and knees while maintaining an upright torso. The moment your feet contact the ground, explode laterally to the side. Reset and repeat.","10 (5 each side)","3","'-","75s",,,"843edf0a-507f-4eb9-8fd5-48fb3fdc5016",2025-03-07T12:55:49Z,2025-03-07T12:55:50Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Glute Bridge March","Lie on your back with your feet flat and knees bent, lifting your hips into a glute bridge position. Keeping your core engaged and hips stable, lift one knee towards your chest, then lower it back down and repeat on the other side. Focus on maintaining hip alignment and avoiding excessive movement in the lower back.","6","3","'-","90s","[""Hypertrophy/Isolation""]","[""Glutes"",""Hamstrings"",""Core""]","8441de9d-1b79-46c1-9723-e27c6657cf6a",2025-01-23T15:10:56Z,2025-02-05T05:37:04Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Bosch Hold - Unilateral Supine","Lie flat on your back with one leg raised at 90 degrees and the other extended just above the floor. Engage your core and hip flexors, keeping the raised leg stable while resisting rotation. Ensure your lower back remains in contact with the ground. Hold for the prescribed time before switching sides.","20 (10 each side)","3","'-","45s","[""Stability / Balance"",""Prehab / Injury Prevention""]","[""Core"",""Hip Flexors""]","856db799-e1b2-47b6-888f-d183ac61b970",2025-02-05T11:38:14Z,2025-04-04T21:17:48Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Pallof Press","Anchor a resistance band or cable at chest height. Stand perpendicular to the anchor point, gripping the handle with both hands at your chest. Step away to create tension in the band, keeping your feet shoulder-width apart. Press your hands straight out in front of you, resisting the rotational pull from the band. Hold briefly before returning to the start position.","5","3","12kg*","90s","[""Strength-Speed""]","[""Core"",""Obliques"",""Shoulders""]","85f29dd0-134d-47a2-b163-aa85cf419910",2025-01-16T08:52:36Z,2025-02-05T08:32:29Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Lateral Hop Stick to Sprint","Hop laterally off one foot towards the direction of the opposite foot and land on this opposite foot. Hold momentarily in a sprint position with one knee raised and a neutral balanced centre-of-mass. Then fall forward into a 5m acceleration. Apply maximal effort across these initial steps.","4 (2 each side)","2","'-","Full",,,"860d5a17-1ce4-4ed2-8b12-3af05a072e49",2025-04-21T15:55:24Z,2025-04-21T16:11:20Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Pacman","Set up a grid with clear lines connecting them, creating a path for movement - 25x25m with 5m cone intervals. Both the main player (""Pacman"") and the opponent must stay on the cone line during the drill. Pacman’s objective is to evade the opponent while moving along the cone lines and they can only change direction at a cone. The opponent must react to Pacman’s movements, following the same rules—no cutting corners or crossing lines. The drill continues until Pacman is tagged or after a set time (e.g. 30 seconds). Reset and rotate roles for the next round.","4","3","'-","Full","[""Change Of Direction"",""Anaerobic Endurance""]","[""Glutes"",""Quadriceps"",""Hamstrings"",""Core""]","861efcbd-2e46-4ee1-b857-c3660d93ea5e",2025-01-23T19:38:32Z,2025-02-05T07:03:27Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Sit-Outs","Start in a quadruped position with your hands directly under your shoulders and knees hovering just above the ground. Keeping your core engaged and hips low, lift one hand off the floor while rotating your torso and extending the opposite leg underneath your body toward the opposite side. As you reach the end position, your hip should be close to the ground and your chest should remain open. Return to the starting position with control and repeat on the other side.",,,"'-","45s","[""Mobility""]","[""Core"",""Shoulders"",""Upper Back""]","86688194-e596-40a2-9e2c-e07d43a3eda5",2025-01-23T20:59:27Z,2025-02-05T08:42:59Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Toe Walks","Walk forward on the balls of your feet, keeping your heels elevated. Take small steps and maintain balance throughout.","2x10m","1","'-","'-","[""Pre-Training""]","[""Calves"",""Tibialis Anterior"",""Foot Stabilisers""]","86af1529-7c72-4156-9e02-1ac927d2341c",2025-01-29T07:36:05Z,2025-02-05T07:16:45Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Change Of Direction Sprints","Start in a sprint-ready stance, then accelerate forward for a short burst (5-10m). At a designated marker or verbal cue, plant your foot and change direction explosively, pushing off the outside leg and driving the opposite knee forward. Keep your torso controlled and hips low to maintain balance during the turn.","2 (10m-10m)","4","'-","Full","[""Change Of Direction"",""Deceleration""]","[""Quadriceps"",""Glutes"",""Hamstrings"",""Core"",""Calves""]","86b1ab3a-afc1-4a79-9b17-360937ff3a7b",2025-01-16T09:40:53Z,2025-02-05T08:39:46Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Isometric Adduction at Ankles","Sit with your legs extended and place a soft ball, pad or foam roller between your ankles. Squeeze the object firmly, engaging your inner thighs, and hold for the prescribed time. Maintain a neutral posture throughout.","20s","3","Light Resistance","45s","[""Prehab / Injury Prevention"",""Stability / Balance""]","[""Adductors"",""Hip Stabilisers""]","874cf2dd-060e-46d9-92bc-378a7dc72d25",2025-02-05T11:38:33Z,2025-02-19T00:18:11Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"wix:video://v1/c4f4b1_f15d354352f04937991121623a41e250/Banded%20Glute%20Bridge#posterUri=c4f4b1_f15d354352f04937991121623a41e250f000.jpg&posterWidth=640&posterHeight=360",,"Banded Glute Bridges","Lie on your back with your knees bent and feet flat on the ground, hip-width apart. Place the resistance band just above the knees and keep slight tension throughout the movement. Engage your core and glutes, pushing through your heels to lift your hips. Hold briefly at the top, then lower back down slowly.","12","1","'-","'-","[""Prehab""]","[""Glutes"",""Hamstrings"",""Core""]","87b2eb7f-9a90-4d3d-8948-b39601f469e6",2025-02-03T22:44:45Z,2025-03-21T20:06:36Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Back Extensions - GHD","Secure your feet in a GHD (Glute-Ham Developer) machine, keeping your hips positioned at the pad's edge. Lower under control, then engage your glutes and hamstrings to raise yourself back to parallel.","12","3","'-","45s","[""Strength-Speed"",""Prehab / Injury Prevention""]","[""Lower Back"",""Glutes"",""Hamstrings""]","87b89fbd-46cc-41fc-b55f-fb5dde512066",2025-02-05T11:40:37Z,2025-02-18T20:54:20Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Tricep Kickbacks","Hold a dumbbell in each hand, hinge slightly forward, and keep your elbows at your sides. Extend your arms fully behind you, squeezing your triceps, then return under control.","12","3","40% 1RM","60s","[""Hypertrophy / Isolation""]","[""Triceps""]","87cfa521-c920-4179-8577-6b37a3fb93b8",2025-02-05T11:35:26Z,2025-02-19T00:57:42Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Lateral Rock to 90/90 Transitions","Sit on the floor with knees bent and feet wider than hip-width. Rock your knees to one side, letting both legs fall into a 90/90 position. Lean into the front leg slightly to deepen the stretch, then rotate back through centre and switch to the opposite side. Use your hips to guide the movement and keep the spine tall throughout. The focus is on internal and external hip rotation through controlled motion.","12 (6 each side)","2","'-","'-",,,"87f46a5c-5f04-48cb-83d9-7f4a1d041167",2025-05-22T17:49:38Z,2025-05-22T17:49:38Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Wall Push Sprint Drills","Stand facing a wall with your hands placed shoulder-width apart at chest height. Lean forward so your body forms a straight line from head to heels. Drive one knee up explosively, then alternate exploding the opposite knee up with a pause at the end of each motion. Keep your toes dorsiflexed and maintain constant pressure against the wall.","12 (6 each side)","3","'-","60s","[""Acceleration""]","[""Glutes"",""Quadriceps"",""Hamstrings"",""Calves""]","8828b293-b849-4271-bab4-9a0d2358e41e",2025-01-16T05:18:47Z,2025-03-13T18:00:57Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Bound-Bound-Sprint","Begin in an athletic stance. Perform two powerful horizontal bounds from one leg to the other, covering distance with each stride. After the second bound, immediately transition into a short sprint of 5 to 10 metres. Focus on smooth transitions and aggressive acceleration out of the final bound. Stay low and drive forward during the sprint phase.","4 (2 starting each side)","3","'-","90s",,,"88830b6d-6a47-465d-8fe1-647ec255d077",2025-05-21T12:14:07Z,2025-05-21T12:14:07Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Reverse Curls","Hold a barbell or dumbbells with an overhand grip. Curl the weight towards your shoulders, keeping your wrists neutral. Lower under control and repeat. Focus on forearm engagement.","12","3","50% 1RM","60s","[""Hypertrophy / Isolation""]","[""Biceps"",""Forearms""]","88b227e3-551c-4f90-acdb-c0381ebd9252",2025-02-05T11:35:39Z,2025-02-19T00:41:53Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Isometric Wall Push","Stand facing a wall in a forward lean with both palms pressed into it at shoulder height. Position one foot forward and one back, knees slightly bent. Actively drive your hands into the wall as hard as possible, bracing through the core and pushing through your back leg. Maintain full tension throughout your body for the duration of the hold, focusing on posture, force intent and ankle stiffness.","30s","1","'-","'-","[""Pre-Training""]",,"8a2c81ff-7871-4586-af29-448573716886",2025-04-20T20:47:39Z,2025-06-13T15:11:22Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Hanging Vertical Jump	Hang from a pull-up bar with an overhand grip. Engage your core, then  release your grip to fall towards the ground. Upon landing, absorb the force with a slight bend through the knees and immediately jump as high as possible, grabbing onto the bar to return to the original position. Aim for minimal ground contact time.	5	3	-	90s
Depth Jump into Box Jump	Stand on a low box (cc 20""). Step off, landing softly on the ground with knees bent. Load up into a jump onto the highest box possible.","4","4","20"" - Highest Possible	90s
Lateral Hop into Elevated Push-Off Jump	Stand beside a low box. Perform a lateral hop toward the box, then immediately explode upward onto the box, landing with both feet in a neutral stance. Immediately leap forwards as far as possible from the box. Aim to stick the subsequent landing on the ground, but most importantly take care to not let one side overcompensate for the other in controlling the force.	8 (4 each side)	3	20""","90s",,,,"8a6d88ca-44fa-436f-b4cf-495e5d2d2c90",2025-03-13T21:17:38Z,2025-03-13T21:17:39Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"wix:video://v1/c4f4b1_35aad597e41c4ff59a72040949550038/Renegade%20Row#posterUri=c4f4b1_35aad597e41c4ff59a72040949550038f000.jpg&posterWidth=888&posterHeight=476",,"Renegade Row","Start in a high plank position with a dumbbell in each hand, keeping your core engaged and feet shoulder-width apart for stability. Row one dumbbell toward your ribs, keeping your elbow close to your body while avoiding excessive rotation. Lower the weight under control and repeat on the other side.","16 (8 each side)","3","16kg (2x8kg)","90s","[""Hypertrophy/Isolation""]","[""Upper Back"",""Lats"",""Core"",""Triceps""]","8a98d950-35b7-4824-a38e-f374c9c1e91a",2025-01-23T15:34:24Z,2025-03-21T19:57:13Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Plated Around-the-World","Stand tall with your feet hip-width apart, holding a weight plate at chest height. Keeping your core braced, move the plate in a circular motion around your head, ensuring smooth and controlled movement. Complete all reps in one direction before switching sides. Avoid excessive swaying and keep your hips and shoulders stable throughout.","8 (4 clockwise, 4 anti-clockwise)","3","10-20kg","60s","[""Mobility""]","[""Shoulders"",""Core"",""Upper Back""]","8a9b8d13-8383-4914-8627-e1cb0bc65d38",2025-01-23T19:20:08Z,2025-02-05T07:04:16Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Dynamic Calf Stretch","Stand facing a wall or sturdy object for support. Step one foot back and press your heel into the ground while bending your front knee. Push forward gently and then release.","10 (5 each side)","1","'-","'-","[""Pre-Training""]","[""Calves"",""Tibialis Anterior""]","8ac4c28a-c29c-44d6-a031-208b304a457e",2025-01-16T09:05:50Z,2025-02-05T05:35:10Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"High to Low Woodchops - Standing","Stand sideways to a cable machine, gripping the handle at shoulder height. Rotate your torso downward, pulling the handle diagonally towards your opposite hip. Control the return and repeat. Keep your feet planted.","16 (8 each side)","3","40% 1RM","60s","[""Max Power"",""Strength-Speed""]","[""Core"",""Obliques"",""Shoulders""]","8ae0b4e5-6cab-4ca1-ad63-ade5cc32dc7c",2025-02-05T11:40:04Z,2025-02-19T00:06:27Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Cable Overhead Reach","Stand to the side of a cable machine so that you are facing parallel to it rather than directly
towards or away. Clutch a handle in both hands outstretched in front of you. Take a step to the
side and away from the machine to place this under tension. The movement is then to keep both arms straight while raising the cable up above your head in a circular motion.","5","3","4kg",,"[""Mobility""]","[""Shoulders"",""Core"",""Upper Back""]","8b350e2d-2cd6-4940-ae07-c234c45aa20b",2025-02-05T09:00:06Z,2025-02-05T11:22:29Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Diagonal Bound & Bilateral Stick","Start in an athletic stance. Bound diagonally off one foot, travelling forward and laterally. Land on both feet simultaneously in a low, balanced position, absorbing the force through the hips and holding the landing briefly to show control. Reset and repeat in the opposite direction. Focus on explosive take-off, soft and stable landings and maintaining chest height throughout.","10 (5 each side)","3","'-","75s",,,"8b405900-08da-470c-a860-5897d9468a75",2025-05-22T18:22:50Z,2025-05-22T18:23:10Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Lateral Band Walks
with Toe Tap","Place a resistance band around your thighs, just above the knees.
Maintain a slight squat and step laterally, keeping tension on the band.
After each step, tap your toe to the ground before stepping again.","10 (5 each side)","1","'-","'-","[""Pre-Training""]","[""Glutes"",""Hip Stabilisers"",""Core""]","8bb5eaf2-5cdf-4051-bf0d-1d81213f67ed",2025-01-16T09:37:04Z,2025-02-05T06:57:37Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Bent Knee & Straight Leg Wall Pushes","Stand facing a wall with both hands pressed against it at shoulder height. For the bent knee variation, push through your forefoot, keeping your knee bent at 90 degrees. For the straight leg variation, extend your leg fully and push through the ball of your foot. Maintain control and tension, ensuring a strong calf contraction.","16 (8 each side)","3","Bodyweight","45s","[""Strength-Speed"",""Prehab / Injury Prevention""]","[""Calves"",""Tibialis Anterior""]","8bc42242-cc9c-450c-ba7a-88a2435a030e",2025-02-05T11:37:38Z,2025-02-18T23:42:27Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
